Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1430	-1255.786	-1232.475	-23.31128	5.149267	0.508161	0.807451	1.08303	1.60136	4.917696
1440	-1249.188	-1227.172	-22.01594	4.132984	0.461522	0.779686	1.08436	1.67443	4.788162
1450	-1250.198	-1230.649	-19.54848	3.684854	0.436165	0.763554	1.0843	1.71598	4.541415
1460	-1248.63	-1230.145	-18.4851	2.969326	0.386875	0.729815	1.08236	1.80095	4.435078
1470	-1257.666	-1237.848	-19.81826	11.81931	0.658242	0.883032	1.06888	1.38985	4.568394
1480	-1244.314	-1222.736	-21.578	4.6037	0.484736	0.793799	1.08392	1.63755	4.744368
1490	-1269.279	-1240.381	-28.8987	3.09821	0.39672	0.736825	1.08296	1.7835	5.476438
1500	-1245.366	-1223.728	-21.63749	3.390002	0.417351	0.751066	1.08386	1.74772	4.750317
1510	-1261.277	-1233.246	-28.03127	3.112513	0.397783	0.737573	1.08302	1.78163	5.389695
1520	-1251.33	-1230.008	-21.32265	3.87904	0.447591	0.77092	1.0844	1.69709	4.718833
1530	-1253.967	-1223.206	-30.76071	3.410615	0.418728	0.751996	1.08391	1.74537	5.662638
1540	-1245.795	-1226.495	-19.29958	2.516405	0.348006	0.700669	1.07881	1.87251	4.516526
1550	-1267.014	-1237.41	-29.60411	2.861532	0.378258	0.723561	1.08174	1.81644	5.546979
1560	-1270.422	-1238.288	-32.13398	1.771089	0.264329	0.628233	1.06304	2.04439	5.799966
1570	-1259.256	-1231.147	-28.10952	4.825194	0.494651	0.799648	1.08359	1.62211	5.39752
1580	-1247.062	-1227.627	-19.43509	3.792046	0.44256	0.767696	1.08437	1.70537	4.530077
1590	-1260.124	-1229.079	-31.04547	6.337307	0.549641	0.830284	1.08049	1.53958	5.691115
1600	-1258.836	-1232.789	-26.04629	6.111187	0.542569	0.826506	1.08101	1.54992	5.191196
1610	-1251.404	-1230.29	-21.11379	5.09534	0.50599	0.806209	1.08313	1.60467	4.697947
1620	-1251.68	-1231.499	-20.18088	3.408745	0.418604	0.751912	1.0839	1.74558	4.604656
1630	-1258.713	-1230.292	-28.42139	2.716437	0.366061	0.714512	1.08071	1.83872	5.428707
1640	-1246.206	-1224.59	-21.61592	7.814998	0.588848	0.850427	1.07707	1.48366	4.74816
1650	-1256.619	-1232.946	-23.6732	3.786437	0.442231	0.767484	1.08437	1.70592	4.953888
1660	-1254.396	-1235.775	-18.62106	2.193701	0.31535	0.674148	1.07416	1.93634	4.448673
1670	-1247.88	-1226.729	-21.15152	4.316543	0.470949	0.78549	1.08423	1.65933	4.70172
1680	-1246.642	-1226.397	-20.2455	3.503522	0.424818	0.756077	1.08408	1.73502	4.611118
1690	-1252.074	-1232.054	-20.02002	4.207304	0.4654	0.782086	1.08432	1.6682	4.58857
1700	-1263.83	-1240.727	-23.10291	3.70359	0.437299	0.764292	1.08432	1.71409	4.896859
1710	-1247.722	-1226.639	-21.08301	5.320415	0.514865	0.811254	1.0827	1.59118	4.694869
1720	-1245.475	-1221.569	-23.90568	4.712458	0.489678	0.796728	1.08376	1.62983	4.977136
1730	-1258.13	-1232.543	-25.58647	4.770596	0.492262	0.798248	1.08368	1.62581	5.145215
